"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q3,Q1,Q2";"SOT-23";3;"BSS138";;;
2;"D1,D2";"SOT-23";2;"BAS21";;;
3;"U3,U4";"SOP-4_4.4x4.3mm_P2.54mm";2;"AQY212SX (550mA)";;;
4;"U2,U1";"SOP-4_4.4x4.3mm_P2.54mm";2;"AQY212GSZ";;;
5;"R9,R5,R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"1M";;;
6;"F1";"BelFuse_0ZCG_Metric_Pad1.78x3.50mm";1;"0ZCG0020AF2C";;;
7;"R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"R";;;
8;"J4";"Jack_2.5mm_Lumberg_1501_04";1;"AudioJack3";;;
9;"D4";"SOT-23";1;"BZX84C3V6";;;
10;"J2,J1,J5";"Grove_Con_1x04_2mm_horizontal";3;"Grove 90Â°";;;
11;"J3";"PinHeader_2x15_P2.54mm_Holes0.75mm_Vertical";1;"Conn_02x15_Odd_Even";;;
12;"U5";"SOT-23-5";1;"SN74LVC1G14DBV";;;
13;"R4,R11,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10k";;;
14;"C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10u/10V";;;
15;"D3";"LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm";1;"SFH4544";;;
16;"F2";"BelFuse_0ZCF_Metric_Pad2.30x5.60mm";1;"0ZCF0075AF2C";;;
17;"R1,R7,R3,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"180R";;;
18;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"0R";;;
19;"Q4";"LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm";1;"BP103B";;;
20;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100n/50V";;;
21;"R14";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1k";;;
22;"R10";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"39R";;;
